School Name,State,Region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
University of California-Irvine,CA,California,"$48,300.00 ","$96,700.00 ","$47,800.00 ","$66,000.00 ","$123,000.00 ","$172,000.00 "
University of California-Riverside,CA,California,"$46,800.00 ","$81,300.00 ","$37,200.00 ","$59,900.00 ","$109,000.00 ","$134,000.00 "
University of California-San Diego,CA,California,"$51,100.00 ","$101,000.00 ","$51,700.00 ","$75,400.00 ","$131,000.00 ","$177,000.00 "
University of California-Santa Barbara,CA,California,"$50,500.00 ","$95,000.00 ","$51,300.00 ","$71,200.00 ","$129,000.00 ","$173,000.00 "
University of California-Santa Cruz,CA,California,"$44,700.00 ","$84,100.00 ","$46,100.00 ","$62,000.00 ","$121,000.00 ","$165,000.00 "
University of Central Florida,FL,Southern,"$42,600.00 ","$71,700.00 ","$39,500.00 ","$51,500.00 ","$98,400.00 ","$125,000.00 "
University Of Chicago,IL,Midwestern,"$53,400.00 ","$113,000.00 ","$62,200.00 ","$83,300.00 ","$174,000.00 ","$255,000.00 "
University of Colorado - Boulder ,CO,Western,"$47,100.00 ","$97,600.00 ","$51,600.00 ","$69,000.00 ","$128,000.00 ","$187,000.00 "
University of Colorado - Denver,CO,Western,"$46,100.00 ","$84,400.00 ","$46,400.00 ","$58,600.00 ","$105,000.00 ","$144,000.00 "
University of Connecticut ,CT,Northeastern,"$48,000.00 ","$88,800.00 ","$46,100.00 ","$66,400.00 ","$120,000.00 ","$162,000.00 "
University of Delaware,CT,Southern,"$45,900.00 ","$84,500.00 ","$44,500.00 ","$64,000.00 ","$119,000.00 ","$165,000.00 "
University of Florida ,FL,Southern,"$47,100.00 ","$87,900.00 ","$45,400.00 ","$62,900.00 ","$120,000.00 ","$172,000.00 "
University of Georgia ,GE,Southern,"$44,100.00 ","$86,000.00 ","$43,100.00 ","$57,800.00 ","$118,000.00 ","$164,000.00 "
University of Hawaii,HI,Western,"$43,800.00 ","$76,000.00 ","$40,400.00 ","$56,300.00 ","$104,000.00 ","$128,000.00 "
University of Houston ,HO,Southern,"$46,000.00 ","$79,900.00 ","$42,000.00 ","$56,200.00 ","$106,000.00 ","$141,000.00 "
University of Idaho,ID,Western,"$44,900.00 ","$82,000.00 ","$43,000.00 ","$56,700.00 ","$104,000.00 ","$142,000.00 "
University of Illinois - Chicago,IL,Midwestern,"$47,500.00 ","$81,700.00 ","$44,700.00 ","$58,800.00 ","$110,000.00 ","$146,000.00 "
University of Illinois - Urbana-Champaign ,IL,Midwestern,"$52,900.00 ","$96,100.00 ","$48,200.00 ","$68,900.00 ","$132,000.00 ","$177,000.00 "
