Rank,Major,Degree Type,Early Career Pay,Mid Career Pay
398 (tie),Writing,Bachelor's,"$39,400 ","$62,200 "
400 (tie),"Graphic Design, Illustration",Bachelor's,"$38,000 ","$62,100 "
400 (tie),Religious Studies,Bachelor's,"$38,300 ","$62,100 "
402 (tie),Criminal Justice,Bachelor's,"$37,700 ","$61,900 "
402 (tie),Kinesiology,Bachelor's,"$38,800 ","$61,900 "
402 (tie),Social Science,Bachelor's,"$41,000 ","$61,900 "
405 (tie),Graphic Design,Bachelor's,"$40,200 ","$61,700 "
405 (tie),Medical Laboratory Science,Bachelor's,"$48,900 ","$61,700 "
405 (tie),Music Industry,Bachelor's,"$41,900 ","$61,700 "
405 (tie),Printmaking,Bachelor's,"$32,400 ","$61,700 "
405 (tie),Restaurant & Food Service Management,Bachelor's,"$41,700 ","$61,700 "
405 (tie),Secondary English Teacher Education,Bachelor's,"$38,200 ","$61,700 "
411 (tie),Behavioral Science,Bachelor's,"$37,100 ","$61,500 "
411 (tie),Foods & Nutrition,Bachelor's,"$43,800 ","$61,500 "
413 (tie),Physical Education Teaching,Bachelor's,"$39,600 ","$61,400 "
413 (tie),Wildlife Biology,Bachelor's,"$40,000 ","$61,400 "
415,Graphic Arts,Bachelor's,"$38,500 ","$61,300 "
416 (tie),Animal Science,Bachelor's,"$36,700 ","$60,800 "
416 (tie),Religion,Bachelor's,"$37,800 ","$60,800 "
418,Education,Bachelor's,"$39,500 ","$60,600 "
419 (tie),Drawing & Painting,Bachelor's,"$40,000 ","$60,300 "
419 (tie),Exercise & Sports Science,Bachelor's,"$37,500 ","$60,300 "
421,Fashion Marketing & Management,Bachelor's,"$38,500 ","$60,100 "
422,Interdisciplinary Studies (IS),Bachelor's,"$40,000 ","$60,000 "
423,Health & Physical Education Teaching,Bachelor's,"$35,600 ","$59,900 "
424 (tie),Clinical Psychology,Bachelor's,"$38,200 ","$59,700 "
424 (tie),Human Ecology,Bachelor's,"$35,200 ","$59,700 "
426,Art,Bachelor's,"$37,000 ","$59,600 "
427,Legal Studies,Bachelor's,"$40,600 ","$59,500 "
428,Banking,Bachelor's,"$46,300 ","$59,400 "
429,English Teacher Education,Bachelor's,"$36,500 ","$59,300 "
430,Health & Exercise Science,Bachelor's,"$37,600 ","$59,100 "
431 (tie),Family & Consumer Science,Bachelor's,"$36,300 ","$59,000 "
431 (tie),Recreation Management,Bachelor's,"$37,600 ","$59,000 "
433,Speech-Language Pathology,Bachelor's,"$37,600 ","$58,900 "
434,Theatre,Bachelor's,"$36,100 ","$58,700 "
435,Physical Education & Exercise Science,Bachelor's,"$39,600 ","$58,400 "
436,General Studies,Bachelor's,"$38,600 ","$58,200 "
437,Multidisciplinary Studies,Bachelor's,"$39,400 ","$58,000 "
438,Health Promotion,Bachelor's,"$36,800 ","$57,900 "
439,Interior Design & Merchandising,Bachelor's,"$38,600 ","$57,800 "
440,Community Health Education,Bachelor's,"$37,600 ","$57,600 "
441,Supervision & Management,Bachelor's,"$38,200 ","$57,200 "
442 (tie),Human Development,Bachelor's,"$37,100 ","$56,600 "
442 (tie),Instrumental Music Teacher Education,Bachelor's,"$40,200 ","$56,600 "
444 (tie),Music Teacher Education,Bachelor's,"$37,000 ","$56,500 "
444 (tie),Photography,Bachelor's,"$38,600 ","$56,500 "
446 (tie),Painting,Bachelor's,"$36,100 ","$56,400 "
446 (tie),Paralegal Studies,Bachelor's,"$35,100 ","$56,400 "
448,Mortuary Science,Bachelor's,"$42,100 ","$56,300 "
449,Women's Studies,Bachelor's,"$40,300 ","$55,600 "
450,Rehabilitation Services,Bachelor's,"$30,200 ","$55,500 "
451,Recreation Administration,Bachelor's,"$43,300 ","$55,300 "
452,Recreation & Leisure Studies,Bachelor's,"$35,800 ","$55,000 "
453,Community Health,Bachelor's,"$38,900 ","$54,900 "
454,Dance,Bachelor's,"$37,900 ","$54,800 "
455 (tie),Exercise Science,Bachelor's,"$36,600 ","$54,500 "
455 (tie),Health Services Administration,Bachelor's,"$36,700 ","$54,500 "
457,Human Development & Family Studies,Bachelor's,"$35,000 ","$54,200 "
458 (tie),African American & African Studies,Bachelor's,"$41,900 ","$54,100 "
458 (tie),Athletic Training,Bachelor's,"$36,800 ","$54,100 "
460,Music Therapy,Bachelor's,"$36,200 ","$53,700 "
461,Theology,Bachelor's,"$37,400 ","$53,300 "
462,Sculpture,Bachelor's,"$35,500 ","$53,200 "
463,Parks & Recreation Management,Bachelor's,"$38,400 ","$53,000 "
464 (tie),Horticulture,Bachelor's,"$39,100 ","$52,400 "
464 (tie),Nonprofit Management,Bachelor's,"$35,700 ","$52,400 "
466 (tie),Pastoral Ministry,Bachelor's,"$34,500 ","$52,300 "
466 (tie),Vocal Performance,Bachelor's,"$38,500 ","$52,300 "
468,Gerontology,Bachelor's,"$36,700 ","$51,900 "
469 (tie),Communication Sciences & Disorders,Bachelor's,"$38,600 ","$51,800 "
469 (tie),Special Education,Bachelor's,"$35,900 ","$51,800 "
471,Youth Ministry,Bachelor's,"$33,800 ","$51,300 "
472,Therapeutic Recreation,Bachelor's,"$35,200 ","$50,700 "
473,Bible Studies & Theology,Bachelor's,"$33,500 ","$50,500 "
474,Counseling Psychology,Bachelor's,"$36,200 ","$50,100 "
475,Home Economics,Bachelor's,"$38,800 ","$49,600 "
476,Elementary Education,Bachelor's,"$36,000 ","$49,300 "
477,Christian Education,Bachelor's,"$33,500 ","$48,500 "
478,Christian Ministry,Bachelor's,"$33,400 ","$48,400 "
479 (tie),Counseling,Bachelor's,"$36,700 ","$48,300 "
479 (tie),Social Work (SW),Bachelor's,"$34,000 ","$48,300 "
481,Biblical Studies,Bachelor's,"$35,400 ","$47,800 "
482,Photojournalism,Bachelor's,"$37,100 ","$47,200 "
483,Human Services (HS),Bachelor's,"$34,700 ","$46,500 "
484,Family Studies,Bachelor's,"$35,400 ","$44,500 "
485,Child Development,Bachelor's,"$32,300 ","$44,000 "
486,Early Childhood & Elementary Education,Bachelor's,"$35,000 ","$43,600 "
487,Veterinary Technology,Bachelor's,"$31,800 ","$43,100 "
488,Child & Family Studies,Bachelor's,"$32,000 ","$42,100 "
489,Early Childhood Education,Bachelor's,"$32,100 ","$40,400 "
