Rank,Major,Degree Type,Early Career Pay,Mid Career Pay
91 (tie),Fire Protection Engineering,Bachelor's,"$58,800 ","$95,300 "
91 (tie),Informatics,Bachelor's,"$60,500 ","$95,300 "
93,Information Systems Management,Bachelor's,"$55,300 ","$95,200 "
94 (tie),Architectural Engineering,Bachelor's,"$61,200 ","$95,100 "
94 (tie),East Asian Studies,Bachelor's,"$42,300 ","$95,100 "
94 (tie),Plastics Engineering Technology,Bachelor's,"$61,600 ","$95,100 "
97,Agricultural Engineering (AE),Bachelor's,"$56,100 ","$94,400 "
98,Real Estate,Bachelor's,"$54,400 ","$94,100 "
99,Construction Engineering,Bachelor's,"$61,100 ","$93,700 "
100,Electrical Engineering Technology (EET),Bachelor's,"$60,400 ","$93,400 "
101 (tie),Finance,Bachelor's,"$53,300 ","$93,200 "
101 (tie),International Business,Bachelor's,"$48,500 ","$93,200 "
103 (tie),Computer Information Systems (CIS),Bachelor's,"$53,500 ","$93,000 "
103 (tie),Organizational Behavior,Bachelor's,"$50,900 ","$93,000 "
105,Hotel Administration,Bachelor's,"$55,300 ","$92,700 "
106,Computer Information Systems,Bachelor's,"$48,900 ","$92,600 "
107 (tie),Business Information Systems,Bachelor's,"$55,000 ","$92,400 "
107 (tie),Operations & Supply Chain Management,Bachelor's,"$53,900 ","$92,400 "
109,Operations Management (OM),Bachelor's,"$54,600 ","$92,300 "
110,Information Technology Management,Bachelor's,"$53,800 ","$91,900 "
111 (tie),Environmental Health & Safety,Bachelor's,"$51,900 ","$91,800 "
111 (tie),Telecommunications Management,Bachelor's,"$48,000 ","$91,800 "
113,Agricultural Economics & Business,Bachelor's,"$48,200 ","$91,500 "
114 (tie),Business & Finance,Bachelor's,"$48,800 ","$91,100 "
114 (tie),Meteorology,Bachelor's,"$42,600 ","$91,100 "
116,Molecular Biology,Bachelor's,"$47,600 ","$91,000 "
117,Information Security,Bachelor's,"$60,400 ","$90,900 "
118,Occupational Health and Safety,Bachelor's,"$52,500 ","$90,800 "
119,Cybersecurity,Bachelor's,"$56,900 ","$90,700 "
120,Geological Engineering,Bachelor's,"$56,100 ","$90,600 "
121,Corporate Finance,Bachelor's,"$59,700 ","$90,500 "
122 (tie),Accounting & Auditing,Bachelor's,"$52,700 ","$90,400 "
122 (tie),Building Construction Management,Bachelor's,"$52,200 ","$90,400 "
124,Information Technology (IT) & Systems,Bachelor's,"$52,500 ","$90,100 "
125,Mechanical Engineering Technology (MET),Bachelor's,"$58,000 ","$90,000 "
126,Physical Therapy,Bachelor's,"$42,800 ","$89,700 "
127,Food Science,Bachelor's,"$47,800 ","$89,500 "
128,Information Science (IS),Bachelor's,"$58,100 ","$89,300 "
129,Accounting & Finance,Bachelor's,"$52,600 ","$89,000 "
130 (tie),Applied Computer Science,Bachelor's,"$53,100 ","$88,800 "
130 (tie),Business & Marketing,Bachelor's,"$45,700 ","$88,800 "
132,Chemistry,Bachelor's,"$45,700 ","$88,000 "
